的 de5  ⿰白勺 0
影 ying3 郢颍颖瘿 ⿰景彡 288
首 shou3 手艏守 ⿱丷𦣻 289
片 pian4 骗 ⿰丿⿱丄𠃍 290
城 cheng2 晟枨珹澂塍酲成埕丞裎 ⿰土成 291
必 bi4 闭狴毕濞赑诐陛庳毙苾 ⿻心丿 292
须 xu1 𬣙魆顼嘘欻需谞媭旴虚 ⿰彡页 293
各 ge4 个铬虼硌 ⿱夂口 294
另 ling4 令呤 ⿱口力 295
图 tu2 荼途稌徒𬳿涂腯屠酴梌 ⿴囗冬 296
表 biao3 裱婊脿 ⿱龶𧘇 297
甚 shen4 椹渗胂肾慎瘆蜃 ⿱⿴龷𠄠⿺𠃊八 298
至 zhi4 疐智梽踬桎庤𬃊彘滍帙 ⿱𠫔土 299
准 zhun3 𬘯 ⿰冫隹 300
备 bei4 钡悖鞁倍琲碚鞴蓓鐾糒 ⿱夂田 301
总 zong3 偬 ⿱丷𢗀 302
曾 ceng2 嶒层 ⿱丷𭥴 303
往 wang3 辋惘网罔魍枉 ⿰彳主 304
眼 yan3 𬙂兖戭𪩘奄琰弇演鼹衍 ⿰目艮 305
睛 jing1 菁惊鲸精腈荆麖鼱兢京 ⿰目青 306
尔 er3 耳洱迩饵铒珥 ⿱⺈小 307
结 jie2 洁节碣劫婕鲒竭杰桔截 ⿰纟吉 308
象 xiang4 向像橡巷珦项 ⿱⺈⿻口𧰨 309
管 guan3 琯莞馆鳤筦 ⿱𥫗官 310
理 li3 俚娌李里鲤鳢礼浬逦醴 ⿰𤣩里 311
突 tu1 秃㻬葖凸 ⿱穴犬 312
半 ban4 伴绊湴办靽扮瓣柈拌 ⿻丷𰀁 313
因 yin1 音禋愔姻𬮱堙氤𬘡骃喑 ⿴囗大 314
选 xuan3 晅癣烜 ⿺辶先 315
择 ze2 泽则箦舴迮啧笮责帻赜 ⿰扌𠬤 316
米 mi3 脒弭洣靡芈敉 ⿻丷木 317
难 nan2 楠南喃萳男 ⿰又隹 318
复 fu4 腹覆缚妇㳇赋馥富赙付 ⿱𭥍夂 319
少 shao3  ⿱𡭔丿 320
音 yin1 洇氤歅因殷𬮱阴溵堙𬤇 ⿱立日 321
谈 tan2 锬惔檀郯潭昙坛痰磹榃 ⿰讠炎 322
容 rong2 绒荣溶蝾蓉嵘狨融榕瑢 ⿱宀谷 323
变 bian4 苄抃便辫𨚕辩忭辨卞汴 ⿱𰁜又 324
完 wan2 丸芄顽纨烷玩 ⿱宀元 325
读 du2 髑毒独牍渎黩椟犊 ⿰讠卖 326
考 kao3 烤拷栲洘 ⿱耂丂 327
试 shi4 筮贳奭𬤊仕轼事嗜铈士 ⿰讠式 328
章 zhang1 璋暲獐嫜鄣彰蟑漳樟张 ⿱立早 329
玩 wan2 顽烷芄纨完丸 ⿰𤣩元 330
刚 gang1 缸堽扛㭎矼冮冈罡肛钢 ⿰冈刂 331
员 yuan2 羱垣原螈妧嫄爰橼园源 ⿱口贝 332
够 gou4 诟媾雊彀姤觏构购遘垢 ⿰句多 333
六 liu4 鹨遛 ⿱亠八 334
参 can1 骖餐 ⿱⿱厶大彡 335
加 jia1 葭夹浃迦家跏佳痂泇𬂩 ⿰力口 336
帮 bang1 梆𠳐邦浜 ⿱邦巾 337
送 song4 颂诵宋讼 ⿺辶关 338
历 li4 跞篥粝郦莅猁荔痢苈丽 ⿸厂力 339
史 shi3 屎始矢使驶豕 ⿻口乂 340
脸 lian3 蔹琏敛裣 ⿰⺼佥 341
终 zhong1 螽中柊盅舯衷钟忠锺 ⿰纟冬 342
副 fu4 咐付负父阜蝮赋腹㳇傅 ⿰畐刂 343
