一
乙
彻 ⿰彳切
役 ⿰彳殳
返 ⿺辶反
余 ⿱亼朩
希 ⿱㐅布
坐 "⿻土从 or ⿱𠦏一"
谷 ⿳八人口
妥 ⿱爫女
含 ⿱今口
邻 ⿰令阝
岔 ⿱分山
肝 "⿰月干(GJKV) or ⿰⺼干(HT)"
肛 "⿰月工(GJKV) or ⿰⺼工(HT)"
肚 "⿰月土(GJK) or ⿰⺼土(HT)"
肘 "⿰月寸(GJK) or ⿰⺼寸(HT)"
肠 ⿰月𠃓
龟 ⿱⺈电
甸 ⿹勹田
免 "⿱⺈⿸⿻口丿乚(GHTK) or ⿳⺈𫩏儿(JV) or ⿱刀⿸⿻口丿乚(U+FA32)"
狂 ⿰犭王
犹 ⿰犭尤
狈 ⿰犭贝
角 "⿱⺈⿵⺆土(HTJKV) or ⿱⺈用(G)"
删 ⿰册刂
条 "⿱夂朩(G) or ⿱夂木(J)"
彤 ⿰丹彡
卵 ⿰𠂑卪
灸 ⿱久火
岛 ⿹㇯鸟一山
刨 ⿰包刂
迎 ⿺辶卬
饭 ⿰饣反
饮 ⿰饣欠
系 ⿱丿糸
言 "⿳亠𠄠口(GHTV) or ⿱亖口(JK)"
冻 ⿰冫东
状 ⿰丬犬
亩 ⿱亠田
况 "⿰冫兄(U+51B5) or ⿰二兄(U+2F81B)"
床 ⿸广木
库 ⿸广车
庇 ⿸广比
疗 ⿸疒了
吝 ⿱文口
应 ⿸广⿱𭕄一
这 ⿺辶文
冷 ⿰冫令
庐 ⿸广户
序 ⿸广予
辛 "⿱立十 or ⿱亠𢆉"
弃 ⿱𠫓廾
冶 ⿰冫台
忘 ⿱亡心
闰 ⿵门王
闲 ⿵门木
间 ⿵门日
闷 ⿵门心
判 ⿰半刂
兑 "⿱丷兄(GTV) or ⿱𠮦儿(GTV)"
灶 ⿰火土
灿 ⿰火山
灼 ⿰火勺
弟 ⿹弚丿
汪 ⿰氵王
沐 ⿰氵木
沛 "⿰氵巿(GHTJV) or ⿰氵市(K)"
汰 ⿰氵太
沥 ⿰氵历
沙 ⿰氵少
汽 ⿰氵气
沃 ⿰氵夭
沦 ⿰氵仑
汹 ⿰氵凶
泛 ⿰氵乏
沧 ⿰氵仓
没 ⿰氵殳
沟 ⿰氵勾
沪 "⿰氵户 (G) or  ⿰氵戶 (HT) or  ⿰氵戸 (J)"
沈 ⿰氵冘
沉 "⿰氵冗(GJKV) or ⿰氵⿱冖儿(HT)"
沁 ⿰氵心
怀 ⿰忄不
忧 ⿰忄尤
忱 ⿰忄冘
快 ⿰忄夬
完 ⿱宀元
宋 ⿱宀木
宏 ⿱宀厷
牢 ⿱宀牛
究 ⿱穴九
穷 ⿱穴力
