巛,  
臣 6 ⿺𠃊⿳丅𠃍丅
吏 6 ⿻一史
再 6 ⿱一冉
协 6 ⿰十办
西 6 ⿱一𠁤
压 6 ⿸厂圡
厌 6 ⿸厂犬
戌 6 ⿵戊一
在 6 ⿸𠂇⿰丨土
百 6 ⿱一白
有 6 ⿸𠂇月
存 6 ⿸𠂇⿰丨子
而 6 ⿱一𦓐
页 6 ⿱丆贝
匠 6 ⿷匚斤
夸 6 ⿱大亏
夺 6 ⿱大寸
灰 6 ⿸𠂇火
达 6 ⿺辶大
列 6 ⿰歹刂
死 6 ⿸歹匕
成 6 ⿵戊𠃌
夹 6 ⿻大䒑
夷 6 ⿻大弓
轨 6 ⿰车九
尧 6 ⿱𭠍兀
划 6 ⿰戈刂
迈 6 ⿺辶万
毕 6 ⿱比十
至 6 ⿱𠫔土
此 6 ⿰止匕
贞 6 ⿱贝
师 6 ⿰刂帀
尘 6 ⿱小土
尖 6 ⿱⿻丨八大
劣 6 ⿱少力
光 6 ⿱兀
当 6 ⿱𫜹
早 6 ⿱日十
吁 6 ⿰口于
吐 6 ⿰口土
吓 6 ⿰口下
虫 6 ⿱中⿰丶
曲 6 ⿻曰⿰丨丨
团 6 ⿴囗才
吕 6 ⿱口口
同 6 ⿵冂𠮛
吊 6 ⿱口巾
吃 6 ⿰口乞
因 6 ⿴囗大
吸 6 ⿰口及
吗 6 ⿰口马
吆 6 ⿰口幺
屹 6 ⿰山乞
岁 6 ⿱山夕
帆 6 ⿰巾凡
回 6 ⿴囗口
岂 6 ⿱山己
则 6 ⿰贝刂
刚 6 ⿰冈刂
网 6 ⿵冂⿰㐅㐅
肉 6 ⿵内人
年 6 ⿱𠂉㐄
朱 6 ⿰丿未
先 6 ⿱𠂒儿
丢 6 ⿱去
舌 6 ⿱千口
竹 6 ⿰亇亇
迁 6 ⿺辶千
乔 6 ⿱夭⿰丿丨
迄 6 ⿺辶乞
伟 6 ⿰亻韦
传 6 ⿰亻专
乒 6 ⿱丘丿
乓 6 ⿱丘丶
休 6 ⿰亻木
伍 6 ⿰亻五
伏 6 ⿰亻犬
优 6 ⿰亻尤
臼 6 ⿵⿲丨⿱丿一⿹𠃍一一
伐 6 ⿰亻戈
仲 6 ⿰亻中
件 6 ⿰亻牛
任 6 ⿰亻壬
伤 6 ⿰亻⿱𠂉力
价 6 ⿰亻介
伦 6 ⿰亻仑
份 6 ⿰亻分
华 6 ⿱化十
仰 6 ⿰亻卬
仿 6 ⿰亻方
伙 6 ⿰亻火
伪 6 ⿰亻为
自 6 ⿱丿目
伊 6 ⿰亻尹
血 6 ⿱丿皿
向 6 ⿱丿冋
后 6 ⿸𠂋口
行 6 ⿰彳亍
舟 6 ⿻𠔾
全 6 ⿱人王
会 6 ⿱人云
杀 6 ⿱㐅朩
合 6 ⿱亼口
兆 6 ⿻儿⿱丷八
企 6 ⿱𠆢止
众 6 ⿱𠆢从
爷 6 ⿱父𰆊
伞 6 ⿱人⿻丷十
创 6 ⿰仓刂
肌 6 ⿰几
肋 6 ⿰力
朵 6 ⿱𠘧木
杂 6 ⿱九朩
危 6 ⿸厃㔾
旬 6 ⿹勹日
旨 6 ⿱匕日
旭 6 ⿺九日
负 6 ⿱贝
匈 6 ⿹勹凶
名 6 ⿱夕口
各 6 ⿱夂口
多 6 ⿱夕夕
争 6 ⿱⿻亅
色 6 ⿱巴
壮 6 ⿰丬士
冲 6 ⿰冫中
妆 6 ⿰丬女
冰 6 ⿰冫水
庄 6 ⿸广土
庆 6 ⿸广大
亦 6 ⿱亠⿻小丿
刘 6 ⿰文刂
齐 6 ⿱文⿰丿丨
交 6 ⿱亠父
衣 6 ⿱亠𧘇
次 6 ⿰冫欠
产 6 ⿳亠丷厂
决 6 ⿰冫夬
亥 6 ⿳亠𠂈人
充 6 ⿱𠫓儿
妄 6 ⿱亡女
闭 6 ⿵门才
问 6 ⿵门口
闯 6 ⿵门马
羊 6 ⿱䒑𰀁
并 6 ⿱丷开
关 6 ⿱丷天
米 6 ⿻丷木
灯 6 ⿰火丁
州 6 ⿻⿲丿丶丶川
汗 6 ⿰氵干
污 6 ⿰氵亏
江 6 ⿰氵工
汛 6 ⿰氵卂
池 6 ⿰氵也
汝 6 ⿰氵女
汤 6 ⿰氵𠃓
忙 6 ⿰忄亡
兴 6 ⿳𭕄一八
宇 6 ⿱宀于
守 6 ⿱宀寸
宅 6 ⿱宀乇
字 6 ⿱宀子
安 6 ⿱宀女
讲 6 ⿰讠井
讳 6 ⿰讠韦
军 6 ⿱冖车
讶 6 ⿰讠牙
许 6 ⿰讠午
讹 6 ⿰讠化
论 6 ⿰讠仑
讼 6 ⿰讠公
农 6 ⿻冖𧘇
讽 6 ⿰讠风
设 6 ⿰讠殳
访 6 ⿰讠方
诀 6 ⿰讠夬
寻 6 ⿱𫜹寸
迅 6 ⿺辶卂
尽 6 ⿱尺
导 6 ⿱巳寸
异 6 ⿱巳廾
弛 6 ⿰弓也
孙 6 ⿰子小
收 6 ⿰丩攵
奸 6 ⿰女干
如 6 ⿰女口
妇 6 ⿰女𫜹
妃 6 ⿰女己
好 6 ⿰女子
她 6 ⿰女也
妈 6 ⿰女马
戏 6 ⿰又戈
羽 6 ⿰习习
观 6 ⿰又见
欢 6 ⿰又欠
买 6 ⿱乛头
红 6 ⿰纟工
驮 6 ⿰马大
纤 6 ⿰纟千
驯 6 ⿰马川
约 6 ⿰纟勺
级 6 ⿰纟及
纪 6 ⿰纟己
驰 6 ⿰马也
纫 6 ⿰纟刃
巡 6 ⿺辶巛
邗 6 ⿰干阝
邛 6 ⿰工阝
邝 6 ⿰广阝
邙 6 ⿰亡阝
阡 6 ⿰阝千
匡 6 ⿷匚王
耒 6 ⿻一未
玎 6 ⿰𤣩丁
玑 6 ⿰𤣩几
圩 6 ⿰土于
圬 6 ⿰土亏
圭 6 ⿱土土
扦 6 ⿰扌千
圪 6 ⿰土乞
圳 6 ⿰土川
圹 6 ⿰土广
扪 6 ⿰扌门
圮 6 ⿰土己
圯 6 ⿰土巳
芊 6 ⿱艹千
芍 6 ⿱艹勺
芄 6 ⿱艹丸
芨 6 ⿱艹及
芑 6 ⿱艹己
芎 6 ⿱艹弓
芗 6 ⿱艹乡
亘 6 ⿱一旦
厍 6 ⿸厂车
夼 6 ⿱大川
戍 6 ⿵戊丶
尥 6 ⿺尢勺
乩 6 ⿰占乚
旯 6 ⿱日九
曳 6 
岌 6 ⿱山及
屺 6 ⿰山己
凼 6 ⿶凵水
