a1 阿
reng2 仍
ri4 日
rong2 容融荣蓉绒榕溶
rou2 柔揉蹂
rou4 肉
ru2 如儒蠕茹
ru3 乳辱汝
ru4 入褥
ruan3 软阮
rui3 蕊
rui4 瑞锐睿
run4 润
ruo4 若弱偌
sa1 撒
sa3 洒
sa4 萨
sai1 塞腮
sai4 赛
san1 三叁
san3 伞散
san4 散
sang1 桑丧
sang3 嗓
sang4 丧
sao1 骚搔
sao3 扫嫂
sao4 扫
se4 色涩塞瑟啬
sen1 森
seng1 僧
sha1 杀沙莎纱刹煞砂鲨
sha3 傻
sha4 厦
shai1 筛
shai4 晒
shan1 山删衫珊杉煽跚
shan3 闪
shan4 善扇擅讪膳
shang1 商伤
shang3 赏晌
shang4 上尚
shao1 烧稍捎梢
shao2 勺
shao3 少
shao4 绍少哨潲邵
she1 奢
she2 蛇舌
she3 舍
she4 社设舍涉摄射拾
shei2 谁
shen1 身深申伸呻绅参
shen2 什神
shen3 审沈婶
shen4 甚慎渗肾
sheng1 生声升牲甥
sheng2 绳
sheng3 省
sheng4 胜剩盛圣晟
shi1 师诗失施尸湿狮
shi2 时实十食石什识蚀
shi3 始使史驶屎矢
shi4 是事世市试式示视释似室适士氏势饰誓逝仕侍嗜噬拭柿
shou1 收
shou2 熟
shou3 手首守
shou4 受授售瘦兽寿狩
shu1 书殊舒叔输蔬梳疏淑抒姝
shu2 熟孰
shu3 属鼠暑署曙数薯
shu4 术数束树述墅竖漱恕
shua1 刷
shua3 耍
shuai1 摔衰
shuai3 甩
shuai4 帅率蟀
shuan1 拴栓
shuan4 涮
shuang1 双霜
shuang3 爽
shui3 水
shui4 睡税
shun4 顺瞬舜
shuo1 说
shuo4 硕烁朔
si1 司斯思丝私撕厮嘶
si3 死
si4 四似寺肆饲嗣祀
song1 松
song3 耸怂
song4 送讼诵颂
sou1 搜艘
sou3 叟
su1 苏稣酥
su2 俗
su4 宿速素诉肃塑粟
suan1 酸
suan4 算蒜
sui1 虽
sui2 随
sui3 髓
sui4 岁碎遂隧穗邃
sun1 孙
sun3 损笋
suo1 缩梭嗦
suo3 所索锁琐
ta1 他她它踏塌
ta3 塔
ta4 踏拓蹋榻
tai1 胎
tai2 台抬苔
tai4 太态泰汰
tan1 摊滩贪瘫
tan2 谈坛潭弹痰檀
tan3 坦毯
tan4 叹探炭碳
tang1 汤
tang2 堂糖唐塘膛棠
tang3 躺倘淌
tang4 趟烫
tao1 掏涛滔
tao2 逃桃淘陶
tao3 讨
tao4 套
te4 特忒
teng2 疼藤腾
ti1 踢梯
ti2 题提啼蹄
ti3 体
ti4 替惕涕剃
tian1 天添
tian2 田甜填恬
tian3 舔腆
tiao1 挑
tiao2 条调
tiao3 挑窕
tiao4 跳眺
tie1 贴帖
tie3 铁帖
ting1 听厅汀
ting2 庭停亭婷廷蜓
ting3 挺町艇
tong1 通
tong2 同童铜彤桐瞳
tong3 统桶筒捅
tong4 痛同
tou1 偷
tou2 头投
tou4 透
tu1 突凸秃
tu2 图徒途涂屠
tu3 土吐
tu4 兔吐
tuan2 团
tui1 推
tui2 颓
tui3 腿
tui4 退褪
tun1 吞
tun2 屯臀豚
tuo1 托拖脱
tuo2 陀驮驼
tuo3 妥
tuo4 拓唾
wa1 挖蛙哇
wa2 娃
wa3 瓦
wa4 袜
wai1 歪
wai4 外
wan1 湾弯蜿豌
wan2 完玩丸顽
wan3 晚碗挽宛惋婉
wan4 万腕
wang1 汪
wang2 王亡
wang3 网往惘枉
wang4 望忘旺妄
wei1 微危威薇偎
wei2 为唯围维违惟韦帷
wei3 伟尾委伪萎苇纬
wei4 为位未谓味喂卫慰胃魏畏蔚尉
wen1 温瘟
wen2 文闻纹雯蚊
wen3 稳吻紊
wen4 问
weng1 翁嗡
wo1 窝蜗涡
wo3 我
wo4 握卧沃
wu1 屋乌污呜巫
wu2 无吾吴唔毋梧芜
wu3 五午舞武捂侮妩伍鹉
wu4 务物误勿雾悟恶晤戊兀
xi1 希息西析惜吸晰牺溪夕昔浠悉膝嘻锡稀腊熄熙皙嬉蟋唏曦犀
xi2 习席媳袭
xi3 喜洗徙
xi4 系戏细隙
xia1 瞎虾呷
xia2 侠霞狭峡辖暇遐瑕
xia4 下吓夏
xian1 先仙鲜掀纤
xian2 闲嫌贤衔咸弦娴
xian3 显险
xian4 现线限县献羡陷宪馅
xiang1 相香乡箱厢镶湘
xiang2 详降祥翔
xiang3 想响享
xiang4 向像象项相巷橡
xiao1 消销潇萧逍宵嚣
xiao2 淆
xiao3 小晓筱
xiao4 笑校效肖孝啸哮
xie1 些歇蝎
xie2 叶鞋胁协邪谐斜携挟
xie3 写
xie4 谢械蟹泄屑邂卸泻懈亵
xin1 新心欣辛薪馨芯
xin4 信衅
xing1 星兴腥猩
xing2 行形型刑
xing3 醒省
xing4 性兴幸姓杏悻
xiong1 胸兄凶汹匈
xiong2 雄熊
xiu1 修休羞
xiu3 朽
xiu4 秀袖绣嗅锈
xu1 需须虚墟嘘吁
xu2 徐
xu3 许
xu4 续绪序叙恤旭蓄絮酗
xuan1 宣轩喧暄
xuan2 玄悬旋璇漩
xuan3 选
xuan4 炫渲绚旋
xue1 削靴
xue2 学穴
xue3 雪
xue4 血
xun1 熏勋薰
xun2 寻询旬循巡
xun4 训迅讯逊
ya1 压押丫鸭呀鸦
ya2 牙涯芽崖衙
ya3 雅哑
ya4 亚讶娅压
yan1 烟燕焉淹腌殷咽胭
yan2 研言严颜沿盐岩延炎妍蜒檐阎
yan3 眼演掩俨衍
yan4 验厌艳雁咽宴焰燕彦砚谚
yang1 央鸯
yang2 阳羊杨扬洋
yang3 养仰痒氧
yang4 样漾
yao1 要邀腰妖幺吆
yao2 摇遥姚瑶窑谣肴
yao3 咬舀窈
yao4 要药钥耀
ye1 耶噎椰
ye2 爷
ye3 也野
ye4 业页夜叶拽液咽曳烨
yi1 一衣医依伊壹漪
yi2 宜疑移遗姨仪怡咦夷颐
yi3 以已椅乙蚁倚
yi4 意易艺议义亿译亦忆益异谊裔抑绎翼逸疫役溢毅邑奕驿弈诣
yin1 因音姻阴茵殷
yin2 银淫吟
yin3 引饮隐瘾尹
yin4 印荫
ying1 应英婴鹰樱鹦莺
ying2 迎营赢莹盈瀛萦滢
ying3 影颖
ying4 应映硬
yo1 哟
yong1 拥庸佣慵
yong3 永勇泳涌咏踊恿
yong4 用佣
you1 优幽忧悠
you2 由游尤油邮犹
you3 有友黝
you4 又右诱幼佑
yu2 于余鱼娱愉舆予愚逾渔瑜虞禺
yu3 与语雨予宇羽屿
yu4 育遇与欲玉域郁寓豫狱预愈吁誉御裕浴喻驭谕蔚熨
yuan1 冤鸳渊
yuan2 元员原源园圆缘援猿垣
yuan3 远
yuan4 院愿怨苑媛
yue1 约曰
yue4 月越乐阅跃悦粤岳瀹钥
yun1 晕
yun2 云芸匀耘
yun3 允
yun4 运孕韵酝蕴
za1 扎咂
za2 杂砸咱
zai1 灾哉栽
zai3 载宰仔崽
zai4 在再载
zan2 咱
zan3 攒
zan4 暂赞
zang1 脏
zang4 藏脏葬
zao1 遭糟
zao2 凿
zao3 早澡枣
zao4 造燥噪躁皂灶
ze2 则择责泽咋啧
zei2 贼
zen3 怎
zeng1 增憎
zeng4 赠
zha1 扎渣
zha2 扎闸札铡炸
zha3 眨
zha4 炸乍诈栅
zhai1 斋摘
zhai2 宅
zhai3 窄
zhai4 寨债
zhan1 沾粘瞻
zhan3 展盏斩崭辗
zhan4 站占战栈绽蘸湛
zhang1 张章彰蟑
zhang3 长掌涨
zhang4 丈障帐账仗胀杖
zhao1 招昭朝
zhao2 着
zhao3 找爪
zhao4 照召罩兆诏肇
zhe1 折遮
zhe2 哲折辄
zhe3 者
zhe4 这
zhen1 真针珍侦贞臻
zhen3 枕诊疹
zhen4 阵圳镇震振朕
zheng1 争征挣睁蒸正怔筝狰
zheng3 整拯
zheng4 正政证症挣郑怔
zhi1 之织知支枝芝汁脂肢蜘只
zhi2 直值职执植殖侄
zhi3 只指址纸止旨趾
zhi4 至治志制质致置智秩稚窒帜掷挚峙滞
zhong1 中终钟忠衷
zhong3 种肿冢
zhong4 重众种中仲
zhou1 周州舟洲粥
zhou2 轴
zhou3 肘
zhou4 宙皱骤咒昼
zhu1 猪珠诸朱株蛛诛
zhu2 逐竹烛
zhu3 主煮嘱瞩拄
zhu4 住注助筑驻祝柱铸伫
zhua1 抓
zhua3 爪
zhuan1 专砖
zhuan3 转
zhuan4 赚撰传转
zhuang1 装庄妆桩
zhuang4 状撞壮
zhui1 追锥
zhui4 坠缀
zhun3 准
zhuo1 桌捉拙
zhuo2 着琢卓浊啄
zi1 资咨滋姿缁吱孜
zi3 子仔紫姊梓籽
zi4 自字渍
zong1 综宗踪棕
zong3 总
zong4 纵粽
zou3 走
zou4 奏揍
zu1 租
zu2 族足卒镞
zu3 组祖阻诅
zuan1 钻
zuan4 钻攥
zui3 嘴
zui4 最罪醉
zun1 尊遵
zuo1 作
zuo2 昨
zuo3 左佐
zuo4 做作坐座
