a1 啊阿锕吖
niang2 娘
niang4 酿
niao3 鸟袅茑
niao4 尿脲
nie1 捏
nie4 涅孽颞镍镊啮聂蹑蘖臬嗫陧菍嵲𫔶糵
nin2 您
ning2 宁柠凝拧狞咛苧聍
ning4 泞佞甯
niu1 妞
niu2 牛
niu3 纽扭钮忸狃
nong2 农浓脓侬哝秾𬪩
nong4 弄
nou4 耨
nu2 奴驽孥笯
nu3 努弩胬砮
nü3 女钕
nu4 怒傉
nü4 恧衄
nuan3 暖
nüe4 虐疟
nuo2 挪傩
nuo4 诺懦喏糯锘搦
o1 噢
ou1 欧殴鸥讴瓯𫭟
ou3 偶呕藕耦𬉼𠙶
ou4 怄沤
pa1 趴啪葩舥
pa2 爬琶杷筢潖
pa4 怕帕
pai1 拍
pai2 排牌徘俳簰
pai4 派湃哌蒎
pan1 潘攀
pan2 盘磐蟠蹒槃爿磻
pan4 判叛盼畔泮袢襻
pang1 乓滂雱
pang2 旁庞螃彷逄鳑
pang3 耪
pang4 胖
pao1 抛脬
pao2 袍咆庖狍匏
pao3 跑
pao4 泡炮疱
pei1 胚呸醅衃
pei2 陪培赔裴锫
pei4 配佩沛辔帔旆霈
pen1 喷
pen2 盆湓
peng1 砰烹嘭抨怦
peng2 朋篷棚蓬彭膨澎鹏硼堋蟛芃淜弸
peng3 捧
peng4 碰椪
pi1 批披劈霹噼纰砒坯丕邳伾狉𬳵
pi2 皮啤脾疲琵铍毗蜱陴蚍陂枇郫罴貔鼙鲏
pi3 匹癖痞圮仳苉嚭
pi4 屁僻辟譬媲埤淠睥澼甓䴙
pian1 偏篇翩犏
pian2 胼骈蹁㛹楩
pian3 谝𡎚
pian4 片骗
piao1 漂飘剽缥螵
piao2 嫖瓢薸
piao3 瞟殍
piao4 票嘌蔈
pie1 撇瞥氕
pie3 苤𬭯丿
pin1 拼姘
pin2 频贫颦嫔玭𬞟
pin3 品
pin4 聘牝
ping1 乒娉俜涄甹
ping2 平评瓶凭屏苹坪萍鲆枰泙玶荓帡洴蚲
po1 泼坡颇钋䥽酦
po2 婆鄱皤
po3 叵钷笸
po4 破迫珀魄粕
pou1 剖
pou2 抔掊裒
pou3 咅
pu1 铺扑噗潽攵攴
pu2 葡仆菩蒲匍璞莆镤濮蒱酺墣穙菐
pu3 普谱朴浦蹼圃镨溥氆
pu4 曝瀑
qi1 期妻七欺漆戚栖蹊凄沏嘁柒桤萋郪欹
qi2 其奇骑祈齐旗歧琪棋淇崎脐琦鳍岐麒骐祺祁埼耆祇鲯萁畦颀亓圻芪俟蛴锜綦蜞蕲𨙸𬨂䓫跂愭
qi3 起启企乞岂杞绮芑屺玘婍棨
qi4 气器弃汽契泣迄砌憩葺槭讫碛汔洓碶磜咠
qia1 掐袷葜
qia2 拤
qia4 恰洽髂
qian1 千签牵迁铅谦阡仟钎扦愆芊佥悭鹐骞搴褰圲杄岍汧磏
qian2 前钱潜虔钳乾掮黔荨钤靬墘
qian3 浅遣谴缱肷
qian4 歉欠茜嵌倩堑芡椠慊伣𬘬蒨
qiang1 枪腔呛锵戕戗蜣羌镪玱锖
qiang2 强墙蔷樯嫱蔃
qiang3 抢羟襁
qiang4 跄炝
qiao1 敲橇跷锹硗劁缲
qiao2 瞧乔桥憔荞侨樵谯鞒硚
qiao3 巧悄愀
qiao4 翘窍撬俏峭鞘诮
qie2 茄
qie3 且
qie4 切窃怯惬妾锲挈郄箧
qin1 亲侵钦衾骎嵚
qin2 琴勤禽擒秦芹嗪噙覃芩溱檎慬
qin3 寝锓
qin4 沁吣揿
qing1 清轻青倾氢卿蜻鲭圊
qing2 情擎晴氰檠黥勍
qing3 请顷苘庼
