"to excel; to surpass" 胜过
"to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement" 补
"to compensate; to make up" 补偿
"to complement; to make up for a deficiency" 弥补
"the forbidden city; former imperial palace" 故宫
palace 宫殿
"uterus; womb" 子宫
"white house" 白宫
"fleece; wool; woolen" 羊毛
"goat; (gymnastics) small-sized vaulting horse" 山羊
antelope 羚羊
"to expose; to show" 露出
"to leak out; to divulge; to reveal" 透露
"to expose; to reveal; to lay bare" 暴露
"to reveal (indirectly, implicitly); to show (interest, contempt etc) by means of one's actions, tone of voice etc" 流露
"to grasp; to hold; to operate; to manage; to control; to steer; to exercise; to drill (practice); to play; to speak (a language)" 操
"to work; to operate; to manipulate" 操作
"playground; sports field; drill ground" 操场
"to worry about" 操心
"to operate; to control; to rig; to manipulate" 操纵
"to keep in the mouth; to contain" 含
"meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation" 含义
"to contain; including" 含有
"content; quantity contained" 含量
window 窗
"window curtains" 窗帘
"car window; window of a vehicle (bus, train etc)" 车窗
"tooth; ivory" 牙
"tooth; dental" 牙齿
"to brush one's teeth" 刷牙
"to clench one's teeth; to grind the teeth; gnaw" 咬牙
toothpaste 牙膏
"dawn; daybreak" 黎明
"li ethnic group" 黎族
"earl; count" 伯爵
"father's elder brother; term of respect for older man" 伯父
"father's elder brother; uncle" 伯伯
"husband's older brother; brother-in-law" 大伯
"to turn; to wrench; button" 纽
button 纽扣
"tie; link; bond" 纽带
"hub (e.g. of traffic network); hinge; pivot; fulcrum" 枢纽
"to meet by chance (usually with misfortune); classifier for events: time, turn, incident" 遭
"to suffer; to meet with (sth unfortunate)" 遭到
"to suffer; to sustain (loss, misfortune)" 遭受
"to suffer (defeat, death etc)" 惨遭
"regret; to regret; to be sorry that" 遗憾
"heritage; legacy; inheritance; bequest" 遗产
"a regret; sth regrettable" 缺憾
"to invite; to request; to intercept; to solicit; to seek" 邀
"at sb's invitation; on invitation" 应邀
"special invitation" 特邀
"to invite; invitation" 邀约
"to hint; to suggest; hint; suggestion" 暗示
"secretly; inwardly" 暗暗
"inwardly; to oneself; secretly" 暗自
hardware 硬件
coin 硬币
"just; simply; stubbornly; really" 硬是
"neighboring; adjacent; near; vicinity" 邻近
"neighbor; adjacent" 相邻
"neighbor; neighborhood" 邻里
"in arrears; behind in payments; to default on one's debts" 拖欠
"to delay; to put off; to procrastinate" 拖延
"to encumber; to be a burden on; to implicate" 拖累
"enchantment; magic" 魔法
"demon; fiend" 恶魔
"magic; magic power" 魔力
"to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)" 脱离
"to take off (clothing)" 脱下
"to untie; to free; to absolve of; to get free of; to extirpate oneself" 解脱
"(used for transliteration)" 欧
"european union; eu" 欧盟
"two-character surname ouyang" 欧阳
"eastern europe" 东欧
"clip; clamp; tongs; folder; wallet" 夹子
"crack; crevice" 夹缝
"to carry within it; to be mixed in; to slip sth in; to intersperse; (hydrology etc) to entrain; to smuggle; notes smuggled into an exam" 夹带
"sweet; happy" 甜蜜
"sweet; pleasant; happy" 甜美
"fragrant and sweet; sound (sleep)" 香甜
dessert 甜点
wolf 狼
"in a difficult situation; to cut a sorry figure" 狼狈
"lecher; pervert; wolf" 色狼
wolfdog 狼狗
"jackal and wolf; ravenous wolf; fig. evil person; vicious tyrant" 豺狼
"stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race" 棒
baseball 棒球
"stick; club; cudgel; maize (corn); ear of maize; corncob" 棒子
"club; staff; stick" 棍棒
"big stick (policy etc)" 大棒
"fashion; fad; fashionable" 时尚
"noble; lofty; refined; exquisite" 高尚
"high official; government minister" 尚书
"glass; (slang) male homosexual" 玻璃
"colored glass; ceramic glaze" 琉璃
"to forecast; to predict" 预测
"school; sect; purpose; model; ancestor; clan; to take as one's model (in academic or artistic work); classifier for batches, items, cases (medical or legal), reservoirs" 宗
religion 宗教
"orthodox school; fig. traditional; old school; authentic; genuine" 正宗
"objective; aim; goal" 宗旨
"clan; clansman" 宗族
"to touch; to meet with; to bump" 碰
"to come across; to run into; to meet; to hit" 碰到
"to run into; to come upon; to meet" 碰上
"to collide; collision" 碰撞
"by chance; by coincidence; to happen to" 碰巧
"winter vacation" 寒假
"to exchange conventional greetings; to exchange pleasantries" 寒暄
"bitter cold; severe winter" 严寒
"to edify; enlightenment" 启迪
dubai 迪拜
"disco; night club" 迪厅
candy 糖果
"(refined) white sugar" 白糖
"crystal sugar; rock candy" 冰糖
"blood sugar" 血糖
"to search" 搜
"to search (a place); to search (a database); to search for (sth)" 搜索
"sohu, chinese web portal and online media company" 搜狐
"to gather; to collect" 搜集
"to explore; to probe" 探索
"trail; clues; thread (of a story)" 线索
"you might as well (do it); simply; just" 索性
"to report; to give an account of; to collect information and report back; to report; to give an account of; report" 汇报
"foreign (currency) exchange" 外汇
"to remit money; remittance" 汇款
"headphones; earphones; telephone receiver" 耳机
"a slap on the face" 耳光
ear-piercing 刺耳
"to prohibit; to forbid; to ban" 禁止
until 为止
"to prevent; to guard against; to take precautions" 防止
"toilet; lavatory" 厕所
"public toilet" 公厕
"to give; to impose; to apply" 予以
"to assign; to entrust (a task); to give; to bestow" 赋予
"to comply with; to abide by; to respect (an agreement)" 遵守
"conservative; to guard; to keep" 保守
"to defend; to protect (against)" 防守
"to guard; to watch over" 看守
"to register (one's name)" 登记
"to climb over; to ascend onto; to mount" 登上
"to target; to focus on; to be aimed at or against; in response to" 针对
"policy; guidelines" 方针
"to give or have an injection" 打针
"pointer on a gauge; clock hand; cursor; (computing) pointer" 指针
"madman; lunatic" 疯子
"to go mad; to go crazy; to lose one's mind" 发疯
"to rise; to go up; to ascend" 上升
"to promote; to upgrade" 提升
"to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade" 升级
"to compel; to pressure; to force (sb to do sth); to compel; to press for; to extort; to press on towards; to press up to; to close in on" 逼
"to force; to compel; to coerce" 逼迫
"to press on towards; to close in on; to approach; to draw near" 逼近
"lifelike; true to life; distinctly; clearly" 逼真
"pressing; threatening" 逼人
"to advise; to urge; to try to persuade; to exhort; to console; to soothe" 劝
"to persuade; persuasion; to advise" 劝说
